names	x.pos	y.pos	peak.zt	trough.zt	CCA1	LHY	TOC1	PRR5	PRR7	PRR9	PHYA	PHYB	CRY2	FHY1	LUX	PIF3	PIF4	PIF5	ELF4	ELF3	indegree	outdegree	transitivity	closeness	betweeness	eccentricity	description	ZT0	ZT4	ZT8	ZT12	ZT16	ZT20	CCA1_ZT02	CCA1_ZT14	LHY_ZT02	TOC1_ZT15	PRR5_ZT10	PRR7_ZT12	PRR9_ZT??	PHYA_ZT00	PHYB_ZT00	CRY2_ZT08	FHY1_ZT04	LUX_ZT10	LUX_ZT12	PIF3_ZT08	PIF4_ZT04	PIF5_ZT04	ELF4_ZT10	ELF3_ZT00	ELF3_ZT04
AT2G26650	-3937.36376953125	1861.71434825182	peak16	trough4	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	1	4	0	0.833333333333333	0.00017307026652821	0	3	K+ transporter 1	5.81536272515586	5.62027117506028	5.71120245478538	5.71115021789275	5.88715871955628	5.75706703206958	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	1	0
AT2G33000	-2179.85229492188	3037.11534922838	peak4	trough20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	NA	0.00017307026652821	0	4	ubiquitin-associated (UBA)/TS-N domain-containing protein-related	5.57087353116455	5.66329565559129	5.56539018708234	5.47838308530532	5.47986419006871	5.38789846841566	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
AT2G39710	-3181.939453125	4057.40221446276	peak8	trough16	1	1	0	1	0	0	0	0	1	0	0	0	0	0	0	1	5	0	0.8	0.00017307026652821	0	3	Eukaryotic aspartyl protease family protein	6.71516658729848	7.10301270043088	7.3643726100324	7.30486223949193	6.56432178186736	6.57100252384539	1	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1
AT2G30790	-2379.33715820312	2415.96227305651	peak4	trough12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	NA	0.00017307026652821	0	4	photosystem II subunit P-2	6.96210305907527	7.48118571477624	6.70256219127883	6.31318775173339	6.54337302985069	6.72966024138561	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
AT2G45590	-3322.43896484375	4093.45299571276	peak8	trough0	1	1	0	1	0	0	1	0	0	0	0	0	1	1	0	0	6	0	0.933333333333333	0.00017307026652821	0	3	Protein kinase superfamily protein	8.18908784196683	8.75526171163446	9.06906184979684	8.90521925204792	8.46576402280474	8.37717747664159	1	0	1	0	1	0	0	1	0	0	0	0	0	0	1	1	0	0	0
AT2G32710	-3237.28442382812	1742.43480723619	peak0	trough12	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	NA	0.00017307026652821	0	4	Cyclin-dependent kinase inhibitor family protein	8.60575094458481	7.58219523516458	7.45035238682489	7.33281474249405	7.77363481788931	7.99111462560131	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT2G32765	-4229.9814453125	2197.43541758776	peak12	trough8	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	NA	0.00017307026652821	0	4	small ubiquitinrelated modifier 5	7.52784583610282	7.01161959685483	6.88240374404953	7.79241091493711	7.75056081643031	7.47986288613334	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
AT2G32800	-3504.326171875	1502.64989512682	peak0	trough8	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	2	0	1	0.00017307026652821	0	3	protein kinase family protein	7.85466890084754	7.02000307583456	6.7532482310494	7.22307553197769	7.35957045856559	7.38764860924471	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0
AT2G32680	-4070.88427734375	2935.18273204088	peak12	trough8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	NA	0.00017307026652821	0	4	receptor like protein 23	6.32308830178381	6.43799980853819	6.3182315776575	7.0932627230239	6.89232564257079	6.74120462926906	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
AT2G32720	-3382.79833984375	1513.06188243151	peak0	trough8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	NA	0.00017307026652821	0	4	cytochrome B5 isoform B	8.53524799714249	8.01995187505175	7.67708231656148	7.99889463474049	8.16941248862658	8.43656777341146	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
AT2G42030	-3035.22485351562	1702.70824473619	peak0	trough12	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	NA	0.00017307026652821	0	4	RING/U-box superfamily protein	7.78784552290108	7.51154417802559	7.38963263414269	7.27104569361855	7.43331225817196	7.59454751843583	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT2G41870	-2563.34204101562	3274.25426524401	peak4	trough16	0	0	0	1	0	0	1	0	0	0	0	0	1	1	0	0	4	0	1	0.00017307026652821	0	3	Remorin family protein	7.28712926939829	8.85457349064136	7.47182694015049	6.99321532979171	6.0105857329063	6.62541646137902	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	1	0	0	0
AT2G41880	-3324.25244140625	1657.83788340807	peak0	trough12	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	2	0	1	0.00017307026652821	0	4	guanylate kinase 1	8.02234308967015	7.54839701575	7.45839991875233	7.44924113203233	7.75337674567751	7.7296492471661	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1
AT2G41900	-3171.09716796875	3518.88439219713	peak12	trough20	1	1	0	1	0	0	1	1	0	1	0	0	1	1	0	1	9	0	0.805555555555556	0.00017307026652821	0	3	CCCH-type zinc finger protein with ARM repeat domain	7.91145433754286	8.19388353701015	8.04250182270353	8.339065770341	8.11712457818558	7.85817069849163	1	0	1	0	1	0	0	1	1	0	1	0	0	0	1	1	0	0	1
AT2G42040	-3699.56372070312	2166.11681407213	peak16	trough4	0	1	0	1	0	0	1	0	0	0	0	0	1	0	0	0	4	0	1	0.00017307026652821	0	3	PF08879 - WRC (WRC)  (1 of 12)	7.62603954429868	6.68298952594106	7.34527868718411	7.10096919561456	7.73050833176054	7.4725104196823	0	0	1	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0
AT2G41890	-2355.93383789062	1820.14867442369	peak4	trough12	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	3	0	1	0.00017307026652821	0	4	curculin-like (mannose-binding) lectin family protein / PAN domain-containing protein	6.55862122547708	6.76928114165025	6.37569631451909	6.21812123877439	6.54091934363492	6.50947164088664	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1
AT2G30570	-2457.37573242188	3372.80529063463	peak4	trough16	0	0	0	1	0	0	0	1	0	0	1	0	0	0	1	0	4	0	0.5	0.00017307026652821	0	3	photosystem II reaction center W	13.1761666085381	13.3060626970459	13.3016291181584	13.0508918331868	12.9881596309693	13.0485210439492	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0
AT2G30600	-1894.85424804688	2503.17467540026	peak8	trough12	0	1	0	1	0	0	1	0	0	0	0	0	1	1	0	0	5	0	1	0.00017307026652821	0	3	BTB/POZ domain-containing protein	8.76561057354623	8.25448205193685	9.02197061459113	7.22689464347095	7.4975419827151	7.94916143198582	0	0	1	0	1	0	0	1	0	0	0	0	0	0	1	1	0	0	0
AT2G30470	-2998.41430664062	1743.79552500963	peak0	trough8	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	1	0.00017307026652821	0	4	high-level expression of sugar-inducible gene 2	6.51930092046528	6.07607084542317	5.82146555945079	5.82645894093585	5.97819766604083	5.96125073512718	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
AT2G30520	-3022.49975585938	1616.40709727526	peak0	trough12	0	0	0	1	1	1	1	0	0	0	0	0	1	0	1	0	6	0	0.533333333333333	0.00017307026652821	0	3	Phototropic-responsive NPH3 family protein	10.6686799367718	8.84519083335178	6.80467940442037	6.19819326955901	7.77862353423756	9.43188620540262	0	0	0	0	1	1	1	1	0	0	0	0	0	0	1	0	1	0	0
AT2G45630	-3207.59204101562	1587.98412364244	peak0	trough8	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	NA	0.00017307026652821	0	4	D-isomer specific 2-hydroxyacid dehydrogenase family protein	6.71715747518803	6.42513349703369	6.33996123645762	6.37935491383142	6.39602130476141	6.60789936696828	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT2G45620	-3354.81958007812	1738.68090098619	peak0	trough12	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	1	0.00017307026652821	0	4	Nucleotidyltransferase family protein	9.37402054413211	8.48754413441599	8.56539914903496	8.42720673838523	8.88291096416497	9.06913070134901	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
AT2G45670	-3218.63671875	1692.27684825182	peak0	trough12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	NA	0.00017307026652821	0	4	calcineurin B subunit-related	9.04744359361689	7.95305778688814	7.68962357655927	7.56281771276621	8.1187346988328	8.45544008234974	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
AT2G45660	-2923.4287109375	4248.95446055651	peak8	trough0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	4	0	1	0.00017307026652821	0	3	AGAMOUS-like 20	6.16765897759215	7.00023839797517	7.09601749727396	6.47983170223729	6.50636457348328	6.30523249953057	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1
AT2G45560	-3380.50390625	4167.43395274401	peak8	trough0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0.00017307026652821	0	3	cytochrome P450, family 76, subfamily C, polypeptide 1	5.99937027040038	7.38987487076536	8.27399080652119	7.52550818567831	6.75575751959458	6.77224856598222	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT2G45600	-2796.98168945312	3695.16002696276	peak4	trough16	0	1	0	1	0	0	1	0	0	0	0	0	1	1	0	0	5	0	1	0.00017307026652821	0	3	alpha/beta-Hydrolases superfamily protein	7.19616582550823	7.53894972263327	7.44082015277621	7.48040820929152	6.76088880736465	7.02259358874471	0	0	1	0	1	0	0	1	0	0	0	0	0	0	1	1	0	0	0
AT2G45720	-3812.85571289062	3509.15636485338	peak12	trough0	0	1	0	1	0	0	0	0	0	0	0	0	1	1	0	1	5	0	0.9	0.00017307026652821	0	3	ARM repeat superfamily protein	7.74561965990332	7.93538864907515	7.98413246974099	8.14467155947916	8.06238338778043	8.01780824705725	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	1	0	1	0
AT2G30540	-3636.931640625	1888.43346446276	peak0	trough4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	NA	0.00017307026652821	0	4	Thioredoxin superfamily protein	8.53293418308001	7.01121433395026	7.38106966366039	7.79004520095695	8.2123831194562	8.23395611420022	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
AT2G19130	-3846.484375	3388.02623790026	peak12	trough0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	3	0	0.666666666666667	0.00017307026652821	0	4	S-locus lectin protein kinase family protein	7.32154135818022	7.34664215809256	7.57683769714971	7.87411903549826	7.83970978354539	7.41792730298204	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1
AT2G02800	-4216.400390625	3146.79479258776	peak12	trough0	0	0	0	1	0	0	0	0	1	0	0	0	1	1	0	1	5	0	0.9	0.00017307026652821	0	3	protein kinase 2B	8.69925580371417	8.72563710549746	8.73364710145233	9.19024411634163	8.7775009809065	8.90669772813944	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	1	0	1	0
AT2G02760	-4066.8154296875	3507.43956797838	peak12	trough4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	NA	0.00017307026652821	0	4	ubiquiting-conjugating enzyme 2	10.8687802352301	10.7291396057839	11.569705531099	11.6405928772447	11.4766851253935	11.4009412878331	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT2G02810	-3517.71411132812	3564.70421641588	peak12	trough0	1	1	0	1	0	0	0	0	0	0	1	0	0	0	0	1	5	0	0.7	0.00017307026652821	0	3	UDP-galactose transporter 1	7.07042714700731	7.58870864068589	7.7602784356136	8.73309898340072	7.71578903986185	7.43535728431506	1	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0
AT2G02710	-2630.77905273438	2302.48619883776	peak0	trough16	0	1	0	1	0	0	0	1	0	0	0	0	1	0	0	0	4	0	1	0.00017307026652821	0	3	PAS/LOV protein B	8.92414545230425	7.95650001328834	8.28677676638974	7.28278158517105	7.13801422607073	8.07203072797578	0	0	1	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0
AT2G02740	-3414.02807617188	3891.59166758776	peak12	trough0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	NA	0.00017307026652821	0	4	ssDNA-binding transcriptional regulator	7.32399836556695	7.64028787663747	7.8544062811985	7.99926133383217	7.56072946640663	7.35065339610481	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
AT2G30490	-3772.45458984375	1276.16356700182	peak0	trough8	0	0	0	1	0	0	1	0	1	0	0	0	1	1	0	0	5	0	1	0.00017307026652821	0	3	cinnamate-4-hydroxylase	10.4546645293485	10.2375157631861	9.5696662542256	10.3613437784057	10.3506070416712	10.4347606934182	0	0	0	0	1	0	0	1	0	1	0	0	0	0	1	1	0	0	0
AT2G30590	-3653.5361328125	1664.16393321276	peak0	trough8	0	1	0	1	0	0	1	0	0	0	0	0	1	0	0	1	5	0	1	0.00017307026652821	0	3	WRKY DNA-binding protein 21	7.87885658565422	7.44972145962434	7.37384378110693	7.65276029081753	7.71398442811899	7.77416588974133	0	0	1	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	1
AT2G30530	-3820.10009765625	1700.38597911119	peak20	trough8	0	1	0	1	0	0	1	0	0	0	0	0	1	1	0	0	5	0	1	0.00017307026652821	0	3	NA	7.2000749567082	6.91474695242801	6.80646543578799	7.03397579389213	7.26822667555673	7.30995402051562	0	0	1	0	1	0	0	1	0	0	0	0	0	0	1	1	0	0	0
AT2G33830	-4259.87353515625	3229.31871836901	peak8	trough4	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	2	0	1	0.00017307026652821	0	3	Dormancy/auxin associated family protein	8.69806735826329	5.89676082120783	11.0271261516205	9.85488632069144	10.0682560026066	9.95488299070577	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0
AT2G33810	-3592.40673828125	1849.88915293932	peak0	trough4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	1	0.00017307026652821	0	4	squamosa promoter binding protein-like 3	8.03671326084361	6.65599426939948	6.97189859495932	7.20442349900269	7.68465453842002	7.94917717245637	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
AT2G33860	-3657.26293945312	4100.30358165026	peak8	trough0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	NA	0.00017307026652821	0	4	Transcriptional factor B3 family protein / auxin-responsive factor AUX/IAA-related	7.37903639629866	7.69885795980534	8.03398092955311	7.86842814701257	7.75689691388875	7.70221701079026	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT2G33700	-3277.40454101562	1497.31884043932	peak0	trough8	0	1	0	1	0	0	1	0	0	1	0	0	1	0	0	0	5	0	0.8	0.00017307026652821	0	3	Protein phosphatase 2C family protein	6.95625280866255	6.51633858043687	6.24500914931077	6.31786099141252	6.57927398297783	6.9548254538498	0	0	1	0	1	0	0	1	0	0	1	0	0	0	1	0	0	0	0
AT2G33680	-4065.45166015625	3947.68883555651	peak8	trough0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	NA	0.00017307026652821	0	4	Tetratricopeptide repeat (TPR)-like superfamily protein	4.24331309903069	4.27716674206229	4.60613282385085	4.4733171972614	4.4290066220235	4.47451081942728	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
AT2G33800	-3773.83544921875	1901.36412852526	peak16	trough4	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	2	0	1	0.00017307026652821	0	3	Ribosomal protein S5 family protein	12.21892534249	12.0083987417338	12.0679415533403	12.118950961465	12.2633857270235	12.2299346726949	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0
AT2G26260	-3172.35498046875	3907.28600352526	peak12	trough0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	NA	0.00017307026652821	0	4	3beta-hydroxysteroid-dehydrogenase/decarboxylase isoform 2	6.55156626379819	7.01024574516828	6.9402402108701	7.05304893259721	6.68309412284267	6.57646800101723	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
AT2G34850	-3391.7373046875	4159.44957774401	peak8	trough0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	NA	0.00017307026652821	0	4	NAD(P)-binding Rossmann-fold superfamily protein	5.737885416985	6.05728864090773	6.23316513643881	6.13787329998342	5.90883919722439	5.96156806439472	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
AT2G35060	-2476.56079101562	2837.66710704088	peak4	trough16	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	1	4	0	1	0.00017307026652821	0	3	K+ uptake permease 11	7.9084705696122	8.47498076540256	7.83600828272023	6.9420400931981	6.93676506609862	7.14262675125607	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1
AT2G34790	-2555.49584960938	2128.37487071276	peak0	trough16	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	2	0	1	0.00017307026652821	0	4	FAD-binding Berberine family protein	5.77995726596569	5.76595198078575	5.48897318059267	5.45768504957766	5.34863984449954	5.52111037598106	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
AT2G34960	-3455.47705078125	1109.97338145494	peak16	trough12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	NA	0.00017307026652821	0	4	cationic amino acid transporter 5	6.76672112199589	6.67600887318016	6.37190916609352	6.32708799216105	6.82671889858197	6.66894329173746	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
AT2G26210	-3580.21997070312	1905.72277110338	peak0	trough4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	NA	0.00017307026652821	0	4	Ankyrin repeat family protein	8.53602538144052	7.96715936413812	8.1038065520715	8.25064466025717	8.35387537770886	8.34404102340635	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
AT2G44500	-3306.14501953125	1769.58519786119	peak0	trough8	0	0	0	1	0	0	1	0	0	0	0	0	1	1	0	0	4	0	1	0.00017307026652821	0	3	O-fucosyltransferase family protein	7.41065441217929	6.3781564780255	6.29246272581991	6.35517965086234	6.79450792092917	6.65311248886869	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	1	0	0	0
AT2G44490	-3517.75122070312	4187.36119883776	peak8	trough0	0	1	0	1	0	0	1	0	0	1	0	0	1	1	0	0	6	0	0.8	0.00017307026652821	0	3	Glycosyl hydrolase superfamily protein	9.56614896706628	10.4175622894701	10.9332146144543	10.4826704920449	10.3205001619157	10.1244092585254	0	0	1	0	1	0	0	1	0	0	1	0	0	0	1	1	0	0	0
AT2G44450	-3925.666015625	3772.61217540026	peak16	trough0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	NA	0.00017307026652821	0	4	beta glucosidase 15	6.2968517279785	6.42196801465466	6.7024342074996	6.68018024877417	6.73327717294268	6.42201675098048	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
AT2G26170	-3668.68139648438	1254.44384043932	peak0	trough8	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	1	0.00017307026652821	0	4	cytochrome P450, family 711, subfamily A, polypeptide 1	8.12285511688772	7.38654711449164	6.20184779782178	7.70481324851851	7.50673850820154	7.86867272035091	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
AT2G26340	-3652.50244140625	1822.18822520494	peak20	trough4	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	NA	0.00017307026652821	0	4	NA	10.2042329237221	9.79089284071444	9.8920279684526	9.91699023593346	10.1941055249245	10.3112066823345	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
AT2G26200	-3798.75122070312	4079.09899180651	peak8	trough0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	1	0.00017307026652821	0	4	S-adenosyl-L-methionine-dependent methyltransferases superfamily protein	7.11871065783453	7.41607577505374	8.17352702542898	7.7739390327382	7.709234397678	7.53368164751291	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
AT2G26250	-3145.13403320312	1594.31127207994	peak0	trough8	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	2	0	1	0.00017307026652821	0	4	3-ketoacyl-CoA synthase 10	10.6540571491364	10.2443823943122	9.94082388852189	9.98503025974179	10.2017928509859	10.3986496619869	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
AT2G26300	-3600.61279296875	1758.94042247057	peak0	trough4	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	1	0.00017307026652821	0	4	G protein alpha subunit 1	9.2254315891718	7.44536936586519	7.58156854711628	8.04800445927349	8.78101764001299	9.15351776075797	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
AT2G44525	-3539.203125	1754.41991465807	peak0	trough4	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	NA	0.00017307026652821	0	4	Protein of unknown function (DUF498/DUF598)	9.36816033176046	8.79470326339862	8.82536881778636	8.94208900796856	9.19894729169189	9.29678005432999	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT2G44420	-3997.43994140625	2560.95543711901	peak16	trough4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	1	0.00017307026652821	0	4	protein N-terminal asparagine amidohydrolase family protein	6.51200559325164	6.27931486705098	6.53942895551303	6.59933483782302	6.74296472525259	6.66415323644863	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
AT2G44310	-3750.11254882812	3595.32604258776	peak12	trough0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	NA	0.00017307026652821	0	4	Calcium-binding EF-hand family protein	10.5208860386299	10.5527748916557	10.9728646664391	11.415717734177	10.850920177342	10.7183397789342	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT2G40080	-3273.24926757812	3022.2158203125	peak12	trough0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	89	0.0652014652014652	0.39128962340829	1.4850160800083e-06	3	Protein of unknown function (DUF1313)	4.85022312142365	4.99356244379942	8.68264479456382	8.9283402018518	6.62819375940748	5.84215366667413	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
